Feature,Importance
src_bytes,0.13022495094642772
dst_bytes,0.097537550473253
flag_SF,0.08604250258407947
dst_host_srv_count,0.05543377883499372
same_srv_rate,0.054508338181343326
dst_host_same_srv_rate,0.049657405165610034
diff_srv_rate,0.0419759554272396
logged_in,0.04108321573044927
dst_host_srv_serror_rate,0.035796234613853326
dst_host_diff_srv_rate,0.033902242780563224
count,0.030016648018587375
srv_serror_rate,0.028522970775676035
dst_host_same_src_port_rate,0.026398106098304664
serror_rate,0.025339646466738138
protocol_type_icmp,0.02468858649509049
dst_host_srv_diff_host_rate,0.022970098172353747
service_private,0.01801615230360789
service_http,0.017260648245001422
dst_host_count,0.017021308147370046
dst_host_serror_rate,0.01549890461849983
dst_host_rerror_rate,0.013616033172115006
srv_count,0.012996642346036872
service_ecr_i,0.01273163323507845
flag_S0,0.01185024295872728
protocol_type_tcp,0.010909339644044651
dst_host_srv_rerror_rate,0.010739240565792252
hot,0.009154239730770534
service_eco_i,0.008842636324481946
rerror_rate,0.00668513910935141
protocol_type_udp,0.006223129415074942
srv_rerror_rate,0.0061455003545941595
service_domain_u,0.005265608502274849
num_compromised,0.004972084076362502
service_ftp_data,0.00413406440227343
srv_diff_host_rate,0.00410173766035516
duration,0.0034957894641392947
wrong_fragment,0.003243220445073663
flag_RSTR,0.002257896783301852
flag_REJ,0.0017984134263750644
service_other,0.0013742719899975078
service_urp_i,0.0012450939507855758
service_ftp,0.0009522664691025205
is_guest_login,0.0008656791355536964
service_smtp,0.0007473853473898822
service_telnet,0.0005937796010143496
flag_S1,0.0004426105204738514
service_finger,0.00033359268304521285
flag_RSTO,0.00031154086216936695
num_root,0.00028363283322255234
service_IRC,0.0002568267262930213
num_failed_logins,0.00017547478815700806
num_file_creations,0.00013814779675013552
service_auth,0.00011456808153100512
root_shell,0.00010089704825672822
flag_SH,9.913533801121942e-05
service_time,7.999542165747166e-05
service_X11,7.031601785144829e-05
num_access_files,5.064999369726021e-05
flag_S2,4.905617434530983e-05
service_gopher,4.797046104360098e-05
num_shells,4.37458689553831e-05
flag_RSTOS0,4.276001528582401e-05
flag_OTH,3.987032236955127e-05
service_pm_dump,3.812616590347975e-05
service_uucp,3.242303513824853e-05
service_Z39_50,3.0187007746410478e-05
service_imap4,2.8194581185198605e-05
service_ssh,2.8094490498008386e-05
su_attempted,2.384813331599313e-05
service_pop_3,2.3840051552556588e-05
service_tftp_u,2.3783873781167598e-05
service_ntp_u,2.255477905718741e-05
service_iso_tsap,2.184162773004884e-05
land,2.1083476074575583e-05
service_login,1.948586854192288e-05
service_domain,1.631631428844806e-05
urgent,1.529176957537636e-05
service_nntp,1.4626366578566237e-05
service_tim_i,1.232720893118514e-05
flag_S3,1.06684134325906e-05
service_urh_i,9.936861696404883e-06
service_pop_2,9.925223961658845e-06
service_red_i,9.789361496768957e-06
service_efs,8.850192226950823e-06
service_name,6.896333202681114e-06
service_link,5.715083767014701e-06
service_whois,5.281904878439287e-06
service_echo,4.207567538166562e-06
service_discard,4.201399042865773e-06
service_shell,4.039307714228168e-06
service_rje,3.6985569865947997e-06
service_mtp,3.5125434877403967e-06
service_daytime,3.14540948602579e-06
service_ctf,2.4899877603424922e-06
service_http_443,2.395324904507905e-06
service_exec,2.305476738026078e-06
service_netstat,1.8321764843103845e-06
service_remote_job,1.4550359262246695e-06
service_klogin,1.3103680089145986e-06
service_ldap,1.2660022886237265e-06
service_sunrpc,1.2313441754233115e-06
service_netbios_ssn,1.058536994024543e-06
service_sql_net,1.03040382094174e-06
service_systat,9.65977328595221e-07
service_printer,8.884122798816709e-07
service_uucp_path,7.337946081974539e-07
service_netbios_dgm,6.843030257541795e-07
service_hostnames,2.969301085493261e-07
service_kshell,2.478654723598864e-07
service_supdup,2.1810452329074601e-07
service_netbios_ns,2.001688171751359e-07
is_host_login,1.759013066924878e-07
service_nnsp,1.0856990427424025e-07
service_csnet_ns,5.498540807773096e-08
service_vmnet,3.003439254971135e-08
service_bgp,1.2504754996868506e-08
service_courier,1.1739926717399332e-08
num_outbound_cmds,0.0
service_aol,0.0
service_http_8001,0.0
service_http_2784,0.0
service_harvest,0.0
